id,year,type,weight_lbs
3303,2021,3,15933.3
3304,2021,3,15958.2
3305,2021,3,15983.1
3306,2021,4,16008.1
3307,2021,4,16033.0
3308,2021,5,16057.9
3309,2021,3,16082.9
3310,2021,4,16107.8
3311,2021,3,16132.7
3312,2021,4,16157.7
3313,2021,5,16182.6
3314,2021,3,16207.5
3315,2021,3,16232.5
3316,2021,3,16257.4
3317,2021,4,16282.3
3318,2021,4,16307.3
3319,2021,3,16332.2
3320,2021,2,16357.1
3321,2021,3,16382.0
3322,2021,5,16407.0
3323,2021,3,16431.9
3324,2021,3,16456.8
3325,2021,3,16481.8
3326,2021,5,16506.7
3327,2021,3,16531.6
3328,2021,5,16556.6
3329,2021,5,16581.5
3330,2021,3,16606.4
3331,2021,3,16631.4
3332,2021,4,16656.3
3333,2021,4,16681.2
3334,2021,3,16706.2
3335,2021,4,16731.1
3336,2021,3,16756.0
3337,2021,4,16781.0
3338,2021,4,16805.9
3339,2021,4,16830.8
3340,2021,4,16855.7
3341,2021,3,16880.7
3342,2021,4,16905.6
3343,2021,4,16930.5
3344,2021,3,16955.5
3345,2021,4,16980.4
3346,2021,3,17005.3
3347,2021,3,17030.3
3348,2021,3,17055.2
3349,2021,3,17080.1
3350,2021,4,17105.1
3351,2021,4,17130.0
3352,2021,4,17154.9
3353,2021,3,17179.9
3354,2021,3,17204.8
3355,2021,3,17229.7
3356,2021,3,17254.7
3357,2021,4,17279.6
3358,2021,4,17304.5
3359,2021,3,17329.4
3360,2021,3,17354.4
3361,2021,3,17379.3
3362,2021,3,17404.2
3363,2021,4,17429.2
3364,2021,4,17454.1
3365,2021,4,17479.0
3366,2021,4,17504.0
3367,2021,4,17528.9
3368,2021,4,17553.8
3369,2021,3,17578.8
3370,2021,3,17603.7
3371,2021,4,17628.6
3372,2021,4,17653.6
3373,2021,4,17678.5
3374,2021,2,17703.4
3375,2021,5,17728.4
3376,2021,3,17753.3
3377,2021,4,17778.2
3378,2021,4,17803.1
